dest,WHERE_AFRICA,WHERE_ASIA,WHERE_AUSTRALIA_PACIFIC,INSPIRE_BAR,SETTINGS_BAR_NIGHTCLUB,SETTINGS_BEACH,SETTINGS_BIG_CITY,INSPIRE_BOATING,INSPIRE_BUNGEE_JUMPING,INSPIRE_CAMPING,INSPIRE_CANOEING,WHERE_CENTRAL_AMERICA,WEATHER_COLD,INSPIRE_CROSS_COUNTRY_SKIING,SETTINGS_CROWDED,SETTINGS_CRUISE_SHIP,INSPIRE_DANCING,SETTINGS_DESERT,INSPIRE_DINING,INSPIRE_DOWNHILL_MOUNTAIN_BIKING,INSPIRE_DOWNHILL_SKIING,INSPIRE_DRINKING_ALCOHOL,WEATHER_DRY,WHERE_EUROPE,WEATHER_FOGGY,SETTINGS_FOREST,INSPIRE_GAMBLING_CASINO,SETTINGS_GARDEN,INSPIRE_GOING_TO_CONCERT,INSPIRE_GOING_PLAY,INSPIRE_GOING_TO_BALLET,INSPIRE_GOING_TO_OPERA,SETTINGS_GOLF_COURSE,INSPIRE_GOLFING,INSPIRE_HIKING,SETTINGS_HILLY,SETTINGS_HISTORIC_CITY,SETTINGS_HISTORIC_LANDMARK,INSPIRE_HORSEBACK_RIDING,WEATHER_HUMID,SETTINGS_HUT_CABANA,SETTINGS_ISLANDS,SETTINGS_JUNGLE,INSPIRE_KITE_SURFING,SETTINGS_LAKE,SETTINGS_LODGE_CABIN,SETTINGS_LUSH,SETTINGS_LUXURY_HOTEL_RESORT,WHERE_MEDITERRANEAN_SEA,WHERE_MIDDLE_EAST,WEATHER_MODERATE,SETTINGS_MODERN_CITY,SETTINGS_MONUMENT_STATUE,SETTINGS_MOUNTAIN,SETTINGS_MUSEUM,INSPIRE_NIGHT_CLUB,WHERE_NORTH_AMERICA,SETTINGS_OCEAN_SEA,WEATHER_OVERCAST,SETTINGS_PARK,SETTINGS_PLACE_OF_WORSHIP,SETTINGS_POOL,INSPIRE_POOL_PARTY,WEATHER_RAINY,INSPIRE_RELAXING,SETTINGS_RESTAURANT,SETTINGS_RIVER,INSPIRE_ROAD_TRAIL_BIKING,INSPIRE_ROCK_CLIMBING,SETTINGS_ROCKY,SETTINGS_RUINS,INSPIRE_SCUBA_DIVING,INSPIRE_SEA_KAYAKING,SETTINGS_SECLUDED,INSPIRE_SHOPPING,INSPIRE_SIGHTSEEING,SETTINGS_SKI_RESORT,INSPIRE_SKY_DIVING,SETTINGS_SMALL_HOTEL,SETTINGS_SMALL_TOWN_VILLAGE,INSPIRE_SNORKELING,INSPIRE_SNOWBOARDING,INSPIRE_SNOWSHOEING,WEATHER_SNOWY,WHERE_SOUTH_AMERICA,SETTINGS_SPA,WEATHER_SUNNY,INSPIRE_SURFING,INSPIRE_SWIMMING,SETTINGS_TENT,SETTINGS_THEME_PARK,WEATHER_TROPICAL,SETTINGS_VINEYARDS,INSPIRE_VISIT_SPA,INSPIRE_VISIT_THEME_PARK,INSPIRE_WATCHING_MOVIE,SETTINGS_WATER_PARK,SETTINGS_WATERFALL,INSPIRE_WHITE_WATER_KAYKING,INSPIRE_WHITE_WATER_RAFTING,INSPIRE_WINDSURFING,WEATHER_WINDY,INSPIRE_ZIP_LINING,SETTINGS_ZOO_AQUARIUM,Hotels,Reviews
"Poughkeepsie, NY, United States of America",0,0,0,0.00431209,0.05488228,0.00326219,0.0010874,0.0010749,0,0.00061244,0.00023748,0,0.06788104,0,0.29230969,0.00046246,0.00192482,0.00019998,0.36967733,0.03640904,0,0.11640142,0.00019998,0,0,0.00014999,0.00188732,0.02224788,0.09514095,0.09514095,0.09514095,0.09514095,0.0010124,0.0010874,0.12317578,0.00031247,0.07914247,0.07914247,0.00021248,0.00216229,0.00067494,0.00117489,0.00018748,0,0.01798579,0.0010124,0.00018748,0.34377979,0,0,0,0.14177401,0.00098741,0.00091241,0.0535699,0.05430733,0.75,0.00252476,0.00091241,0.00052495,0.00089991,0.35056664,0,0.073618,0.107964725,0.36967733,0.15041069,0.03640904,0,0.00018748,0.00013749,0.00038746,0.00023748,0.00098741,0.28927248,0.055244745,0,0,0.20618038,0.00059994,0.00038746,0,0,0,0,0.07295556,0.04769546,0.00039996,0.21702935,0.00061244,0.00078743,0.00036247,0.00024998,0.07295556,0.00078743,0.00337468,0.00073743,0.11188935,0.00023748,0.00023748,0,0.00091241,0,0.00088742,10,908
"Fredericksburg, TX, United States of America",0,0,0,0.00354301,0.0490877,0.0026137,0.0009625,0.00081315,0,0.00040658,0.00015765,0,0.03071715,0,0.19841686,0.0003402,0.06365802,0.00013276,0.13470076,0.01486903,0,0.09269908,0.00013276,0,0,0.00019084,0.00147695,0.01491881,0.00207436,0.00207436,0.00207436,0.00207436,0.01351654,0.01443756,0.03527245,0.01824609,0.05356002,0.05356002,0.00028211,0.00180055,0.06480306,0.00873721,0.00012446,0,0.00072188,0.04571064,0.00012446,0.16120281,0,0,0,0.0399771,0.0006555,0.01023075,0.27613905,0.02314158,0.75,0.00199969,0.09489791,0.00046466,0.00077166,0.49963909,0,0.03977796,0.09478589,0.13470076,0.02685884,0.01486903,0,0.00016595,0.00014106,0.00025722,0.00015765,0.03337233,0.628988,0.05258922,0.00021573,0,0.11004904,0.00048955,0.00025722,0,0,0,0,0.09928726,0.01864436,0.00026552,0.185282,0.00040658,0.00077996,0.00024063,0.07079382,0.09928726,0.00077996,0.01958198,0.00048955,0.11175002,0.00015765,0.00015765,0,0.00080485,0,0.00078826,16,1555
"Merrillville, IN, United States of America",0,0,0,0.07636683,0.00487787,0.00421605,0.00142169,0.00134816,0,0.00079664,0.00023286,0,0.13134703,0,0.25562237,0.00056377,0.05511501,0.00029414,0.15757476,0.00101724,0,0.11715464,0.00029414,0,0,0.00028189,0.00240217,0.10182244,0.23497109,0.23497109,0.23497109,0.23497109,0.00143395,0.00140943,0.00145846,0.01522189,0.00262277,0.00262277,0.0004167,0.0887576,0.05974776,0.00148297,0.00018384,0,0.00893459,0.0309953,0.00018384,0.07023886,0,0,0,0.15034375,0.00096822,0.00126236,0.00220607,0.00377483,0.75,0.00324783,0.18060369,0.00068633,0.00126236,0.42779397,0,0.05533562,0.086073545,0.15757476,0.01834716,0.00101724,0,0.00024512,0.00020835,0.00047798,0.00023286,0.03267437,0.46347104,0.001838395,0.00031866,0,0.00338264,0.00085792,0.00047798,0,0,0.12617502,0,0.10165086,0.00203449,0.00058829,0.24135644,0.00079664,0.00115206,0.00035542,0.00024512,0.10165086,0.00115206,0.00454696,0.02926721,0.10971527,0.00023286,0.00023286,0,0.00118883,0,0.00116432,18,1470
"Sioux City, IA, United States of America",0,0,0,0.04682173,0.04236787,0.00574727,0.09001064,0.03883628,0,0.00091102,0.00041614,0,0.04180552,0.00062984,0.15272453,0.0007873,0.0699233,0.00034866,0.18013374,0.00133841,0.00062984,0.05165799,0.00034866,0,0,0.00039365,0.04968974,0.03957859,0.25375734,0.25375734,0.25375734,0.25375734,0.00192326,0.00194575,0.00213695,0.01844526,0.05274896,0.05274896,0.0005736,0.00341912,0.00091102,0.01873769,0.00033741,0,0.01618459,0.1213226,0.00033741,0.17535372,0,0,0,0.0334939,0.00133841,0.00173206,0.0716441,0.00512868,0.75,0.00444261,0.00165333,0.00094476,0.0329203,0.54954514,0.00127092,0.0027218,0.1067126,0.18013374,0.08983068,0.00133841,0,0.00033741,0.00025868,0.00061859,0.00041614,0.00159709,0.20632827,0.0025306,0.00029243,0,0.0046563,0.01738804,0.00061859,0.00062984,0.00062984,0.00089977,0,0.16683966,0.00281178,0.00071982,0.30382948,0.00091102,0.00175455,0.00055111,0.00033741,0.16683966,0.00140589,0.09632027,0.0011697,0.10944565,0.00041614,0.00041614,0,0.00164208,0,0.00173206,16,1069
"Roseburg, OR, United States of America",0,0,0,0.00658433,0.0055836,0.01374862,0.0016603,0.00167167,0,0.00092112,0.00021607,0,0.11385541,0,0.24089085,0.00065957,0.00301355,0.00027293,0.03317182,0.00114856,0,0.02762233,0.00027293,0,0,0.00026155,0.00280886,0.11822222,0.04929716,0.04929716,0.04929716,0.04929716,0.0380731,0.0406659,0.00188774,0.00048899,0.00300218,0.00300218,0.00038664,0.00295669,0.00092112,0.00175127,0.00034116,0,0.08700637,0.03189817,0.00034116,0.21843135,0,0,0,0.05137822,0.00135326,0.06592287,0.00252456,0.00442367,0.75,0.02353982,0.00167167,0.00079603,0.00141012,0.53956229,0,0.00231987,0.16823581,0.03317182,0.40225803,0.00114856,0,0.0002843,0.00026155,0.00053448,0.00042076,0.00143286,0.24514394,0.00221752,0.00029567,0,0.00408251,0.02842974,0.00053448,0,0,0,0,0.19361788,0.00243359,0.00054585,0.34861681,0.00092112,0.00142149,0.0004435,0.00034116,0.19361788,0.00142149,0.00536753,0.0010121,0.10669112,0.00042076,0.00042076,0,0.001376,0,0.00147835,11,774
"Antwerpen, N/A, Belgium",0,0,0,0.23727442,0.02830904,0.01107374,0.00406632,0.02280709,0,0.00189348,0.00072945,0,0.07265831,0.0008769,0.15436495,0.00151323,0.09101107,0.01076333,0.1089991,0.04349566,0.0008769,0.09400649,0.01076333,0.75,0,0.00072169,0.00634781,0.01459685,0.11681358,0.11681358,0.11681358,0.11681358,0.00363175,0.00373263,0.03925085,0.01889597,0.2179594,0.2179594,0.00104762,0.06528616,0.00208748,0.0039344,0.00069065,0,0.00311182,0.00349983,0.00069065,0.17143729,0,0,0,0.29826922,0.00277814,0.01122118,0.12884181,0.02560074,0,0.01056933,0.00341447,0.0694068,0.1096432,0.12394516,0.00174603,0.03273232,0.034777125,0.1089991,0.05602054,0.04349566,0,0.00065961,0.00053545,0.00121834,0.00086914,0.0030575,0.44983276,0.04174186,0.00060529,0,0.15267324,0.00213404,0.00121834,0.0008769,0.0008769,0.00124162,0,0.1292143,0.03246848,0.00135803,0.12694058,0.00189348,0.00315838,0.00113298,0.00069065,0.1292143,0.00315838,0.13919386,0.00230477,0.00208748,0.00086914,0.00086914,0,0.04558314,0.00023281,0.24209348,48,1235
"Columbia, SC, United States of America",0,0,0,0.15002765,0.0438972,0.02446829,0.00132056,0.00130538,0,0.25014727,0.0002884,0,0.02471115,0,0.263535,0.00289916,0.02744334,0.00024286,0.24038727,0.01505741,0,0.17410128,0.00024286,0,0,0.00018215,0.00229201,0.02873354,0.13211662,0.13211662,0.13211662,0.13211662,0.0499991,0.05324737,0.00144199,0.01508777,0.04045161,0.04045161,0.00025804,0.02698798,0.00081966,0.00736174,0.00022768,0,0.02888533,0.01235558,0.00022768,0.19029711,0,0,0,0.1762415,0.00119913,0.00122949,0.03453186,0.0374462,0.75,0.00532777,0.00110806,0.00854569,0.02417989,0.37957723,0,0.03497205,0.10705635,0.24038727,0.02272272,0.01505741,0,0.00280809,0.00016697,0.00047054,0.0002884,0.04165073,0.41245459,0.00182146,0.00039465,0,0.06375112,0.00072858,0.00047054,0,0,0,0,0.08249699,0.02832371,0.00048572,0.11837977,0.25014727,0.00095627,0.00575278,0.00538849,0.08249699,0.00095627,0.17144499,0.00089555,0.03060054,0.0002884,0.0002884,0,0.00110806,0,0.23325322,75,7537
"Bonita Springs, FL, United States of America",0,0,0,0.05765739,0.02801205,0.19533261,0.00039637,0.15421319,0,0.05126089,0.03765464,0,0.00039637,0,0.19577681,0.00014351,0.05001712,0.00005467,0.20833064,0.03032873,0,0.11286142,0.00005467,0,0,0.00008201,0.00646484,0.01062667,0.06539334,0.06539334,0.06539334,0.06539334,0.0960706,0.10259694,0.00032119,0.00008201,0.00065605,0.00065605,0.00011618,0.00059455,0.03423087,0.09803875,0.00010251,0,0.05251832,0.00034169,0.00010251,0.10788636,0,0,0,0.14148169,0.05321537,0.01283402,0.00058088,0.02236043,0.75,0.02927632,0.00049887,0.00019135,0.00028019,0.37815923,0,0.02387072,0.113449135,0.20833064,0.09667198,0.03032873,0.30149684,0.00006834,0.000041,0.00010934,0.03763414,0.04408532,0.43069122,0.00051254,0,0.30149684,0.00094308,0.00021868,0.00010934,0,0,0,0,0.10024609,0.06986269,0.00010934,0.13106003,0.05126089,0.00021185,0.03236523,0.00006834,0.10024609,0.00021185,0.23939059,0.00020502,0.10636924,0.03763414,0.03763414,0,0.08741208,0,0.01441264,11,1549
"Cincinnati, OH, United States of America",0,0,0,0.14305084,0.12361148,0.00820456,0.10650198,0.00980544,0,0.00650361,0,0,0.07659967,0,0.30814249,0.00190106,0.09359481,0.00011435,0.18248702,0.01693797,0,0.11384892,0.00011435,0,0,0.01793853,0.01723814,0.01645199,0.15564355,0.15564355,0.15564355,0.15564355,0.00385929,0.00398793,0.00101485,0.00453109,0.05867543,0.05867543,0.00024299,0.02045421,0.00038593,0.27213679,0.01926784,0,0.0006861,0.01377908,0.01926784,0.22233771,0,0,0,0.14903988,0.02043992,0.00072898,0.09922651,0.10734531,0.75,0.00192964,0.19386476,0.00864766,0.01848169,0.42823773,0,0.06745173,0.0738267,0.18248702,0.06557926,0.01693797,0,0.00207258,0.00245851,0.0002287,0.00027158,0.02930198,0.3384879,0.01563725,0,0,0.02804414,0.0004574,0.0002287,0,0,0.02166917,0,0.06906691,0.02923051,0.00521718,0.19385047,0.00650361,0.07958704,0.00554594,0.00014294,0.06906691,0.07962992,0.13637571,0.05214323,0.03111727,0.00027158,0.00027158,0,0.01040578,0.00953386,0.19001977,76,10943
"St. John's, NL, Canada",0,0,0,0.15551774,0.0932472,0.00676385,0.00258879,0.12011224,0,0.00123094,0.00046954,0,0.00237306,0.00071065,0.23399361,0.00095176,0.00392126,0.0003934,0.4274422,0.00163703,0.00071065,0.14193929,0.0003934,0,0,0.00044416,0.00388319,0.02319759,0.07998599,0.07998599,0.07998599,0.07998599,0.02786756,0.02964418,0.23747071,0.03610347,0.12579742,0.12579742,0.0006472,0.00440348,0.00137054,0.0208626,0.0003807,0,0.00190352,0.00214464,0.0003807,0.05116667,0,0,0,0.17271289,0.00151013,0.02625591,0.02229659,0.04951695,0.75,0.03274058,0.00186545,0.00106597,0.03609078,0.19901957,0,0.00307102,0.05041795,0.4274422,0.00421313,0.00163703,0,0.0003807,0.03546896,0.00069796,0.00046954,0.00200504,0.4390283,0.04107166,0.00032994,0,0.21354978,0.0012944,0.00069796,0.00071065,0.00071065,0.00101521,0,0.0811408,0.00332482,0.00081217,0.11017585,0.00123094,0.00197966,0.00062182,0.0003807,0.0811408,0.00197966,0.11851328,0.00131978,0.10574699,0.00046954,0.00046954,0,0.09733342,0,0.00195428,17,1026
"Teguise, Lanzarote, Spain & Canary Islands",0,0,0,0.39624168,0.18567532,0.13530059,0.00707024,0.00624054,0.00069932,0.00336622,0.00110824,0,0.02381836,0.00133938,0.20816615,0.002578,0.15077452,0.00116158,0.24071415,0.0130678,0.00133938,0.09181831,0.00120899,0,0,0.00123863,0.0108039,0.09404073,0.01497018,0.01497018,0.01497018,0.01497018,0.0061872,0.00638277,0.00689837,0.00180164,0.01166323,0.01166323,0.00180164,0.01156248,0.00351438,0.07750004,0.05565518,0.06853334,0.00529824,0.00597385,0.05565518,0.06980752,0.75,0,0.00063413,0.05823319,0.00471152,0.00556493,0.00971936,0.15719878,0,0.13303669,0.0056479,0.00299878,0.00557678,0.34242962,0.0026669,0.00903189,0.113956525,0.24071415,0.01170472,0.0130678,0.00069932,0.01541467,0.0009186,0.00204462,0.00144013,0.00532787,0.32606672,0.008436285,0.0012327,0.00069932,0.01523095,0.01689035,0.00204462,0.00133938,0.00133938,0.02081365,0,0.07854902,0.1705629,0.00225797,0.20101294,0.00336622,0.00537528,0.04268221,0.00116751,0.07854902,0.00519156,0.02017952,0.00386996,0.10562691,0.00144013,0.00144013,0.06853334,0.3783142,0.00053931,0.00547603,23,305
"St. Joseph, MO, United States of America",0,0,0,0.05918165,0.0573959,0.0109778,0.00167128,0.00139655,0,0.0635659,0.0002175,0,0.13652989,0.00064104,0.26800015,0.01659834,0.00251837,0.00027473,0.16518205,0.03649344,0.00064104,0.19915712,0.00027473,0,0,0.00026328,0.00250692,0.00224364,0.01354195,0.01354195,0.01354195,0.01354195,0.00144234,0.00143089,0.00162549,0.00042354,0.09159991,0.09159991,0.06559204,0.00248403,0.00092722,0.0015797,0.00034341,0,0.0012134,0.13301562,0.00034341,0.06812186,0,0,0,0.0380617,0.00090432,0.03721461,0.12852835,0.04774597,0.75,0.00336546,0.00168273,0.00064104,0.00130497,0.53064304,0,0.00212917,0.119176045,0.16518205,0.06373761,0.03649344,0,0.00028618,0.0001946,0.00044644,0.00042354,0.06211211,0.15055262,0.001888775,0.00029763,0,0.00347993,0.00085854,0.00044644,0.00064104,0.00064104,0.30787049,0,0.08312904,0.03293339,0.00054946,0.39106822,0.0635659,0.00107603,0.00044644,0.00022894,0.08312904,0.00107603,0.00463609,0.2982778,0.10431767,0.00042354,0.00042354,0,0.00111037,0,0.00122484,11,843
"Lenox, MA, United States of America",0,0,0,0.00774712,0.05284501,0.00580031,0.00204717,0.00196689,0,0.06028104,0.0003713,0,0.0020271,0.02209736,0.42224829,0.00079278,0.16636244,0.00039137,0.21849495,0.04869047,0.02209736,0.01012545,0.00039137,0,0,0.00035123,0.00330156,0.04698449,0.25736102,0.25736102,0.25736102,0.25736102,0.00541897,0.00579027,0.00214752,0.04413452,0.03255397,0.03255397,0.00051179,0.00348219,0.00108379,0.00204717,0.00044155,0,0.01837433,0.07626701,0.00044155,0.42757695,0,0,0,0.0475565,0.00159559,0.08696446,0.05362775,0.05181139,0.75,0.00444556,0.00147517,0.00098344,0.0016558,0.23311614,0.00113397,0.0027998,0.06439043,0.21849495,0.00357251,0.04869047,0,0.00035123,0.00029102,0.00063221,0.0003713,0.00158555,0.15655811,0.054280035,0.0950026,0,0.00471651,0.04698449,0.00063221,0.02209736,0.02209736,0.00080281,0,0.07159064,0.00286001,0.00064225,0.05832419,0.06028104,0.00188661,0.00058204,0.00039137,0.07159064,0.00156548,0.25070773,0.00119418,0.10412454,0.0003713,0.0003713,0,0.00170597,0,0.00166583,14,740
"Titusville, FL, United States of America",0,0,0,0.00233075,0.00187873,0.0828901,0.00040965,0.03130274,0.26423692,0.16421224,0,0,0.00060741,0,0.23905065,0.16198037,0.03270119,0.00011301,0.28425316,0.02323692,0,0.02456474,0.00011301,0,0,0.00016951,0.00097468,0.02757353,0.0580146,0.0580146,0.0580146,0.0580146,0.00050853,0.00053678,0.00066391,0.00016951,0.00166684,0.00166684,0.00024014,0.10903693,0.0003814,0.13127091,0,0,0.00048028,0.01291097,0,0.23698828,0,0,0,0.07889251,0.00056503,0.00052265,0.00088992,0.00151146,0.75,0.01508634,0,0.11540766,0.0004379,0.48924654,0,0.00079104,0.02498145,0.28425316,0.01508634,0.02323692,0.26423692,0.00007063,0.00008475,0.00011301,0,0.00045203,0.23831611,0.034714115,0,0.26423692,0.05581097,0.00031077,0.00011301,0,0,0,0,0.07418862,0.01662605,0.03587949,0.17599315,0.16421224,0.0004379,0.02440936,0.00014126,0.07418862,0.0004379,0.00190698,0.00021189,0.10290634,0,0,0,0.00033902,0,0.00050853,10,1628
"Port Saint Lucie, FL, United States of America",0,0,0,0.00333035,0.00284691,0.05807521,0.00077887,0.02334826,0,0.00043868,0.0001701,0,0.00090421,0,0.19770816,0.03074306,0.00157565,0.00014324,0.26742169,0.03446733,0,0.13899733,0.00014324,0,0,0.00020591,0.00143241,0.04573859,0.09951657,0.09951657,0.09951657,0.09951657,0.28281112,0.28111909,0.05336616,0.00022381,0.03604298,0.03604298,0.00030439,0.21585499,0.00048344,0.01308863,0.00013429,0,0.03199642,0.00078783,0.00013429,0.12273949,0,0,0,0.09391227,0.00070725,0.00072516,0.00132498,0.0022829,0.75,0.0019427,0.00065354,0.00037601,0.00074306,0.32784246,0,0.00116383,0.12689795,0.26742169,0.00152193,0.03446733,0,0.00013429,0.00009848,0.00027753,0.0001701,0.00070725,0.46027756,0.001074305,0.00023277,0,0.00197851,0.09651747,0.00027753,0,0,0,0,0.03704566,0.02745748,0.00028648,0.06696509,0.00043868,0.00056401,0.01798568,0.00017905,0.03704566,0.00056401,0.31874667,0.0005282,0.10228291,0.0001701,0.0001701,0,0.00065354,0,0.00074306,13,1167
"Lafayette, IN, United States of America",0,0,0,0.08855253,0.08192846,0.01973324,0.00225435,0.0020845,0,0.02632643,0.00029337,0,0.03024837,0,0.37735576,0.0008338,0.0037521,0.00037058,0.07703375,0.00142055,0,0.14974411,0.00037058,0,0,0.00035514,0.00352048,0.03710405,0.00492559,0.00492559,0.00492559,0.00492559,0.04043925,0.0431877,0.00219258,0.00057131,0.00381386,0.00381386,0.00052498,0.00401459,0.0012507,0.00220802,0.00046322,0,0.00171392,0.00193009,0.00046322,0.30337927,0,0,0,0.20465131,0.00121982,0.02254345,0.00310359,0.08117187,0.75,0.00475574,0.21169228,0.00108085,0.00176024,0.46420981,0,0.00287197,0.088390405,0.07703375,0.0266198,0.00142055,0,0.00038602,0.00026249,0.00072571,0.00057131,0.00169848,0.46859498,0.00277933,0.00040146,0,0.00512632,0.00115805,0.00072571,0,0,0,0,0.1342725,0.03707317,0.00074116,0.31562376,0.02632643,0.00193009,0.00060219,0.00030881,0.1342725,0.00193009,0.00676304,0.02152436,0.10210948,0.00057131,0.00057131,0,0.00186833,0,0.00182201,17,159
"Plainfield, IN, United States of America",0,0,0,0.00798562,0.0069292,0.01455132,0.19934517,0.00194245,0,0.00110186,0.0004203,0,0.00196517,0.00063612,0.21671361,0.00079515,0.00351004,0.00035214,0.28365424,0.07139349,0.00063612,0.15246515,0.00035214,0,0,0.00039758,0.00343052,0.02446803,0.07522159,0.07522159,0.07522159,0.07522159,0.00194245,0.00207876,0.00215828,0.00056797,0.01865205,0.01865205,0.00057933,0.00345324,0.00122681,0.0219917,0.00034078,0,0.0017039,0.00191973,0.00034078,0.22999269,0,0,0,0.37953848,0.00135176,0.00174934,0.00301023,0.00532753,0.75,0.00458918,0.00166982,0.00095419,0.0017607,0.53344626,0.00128361,0.05086715,0.07560781,0.28365424,0.00368043,0.07139349,0,0.01820903,0.00026127,0.00062476,0.0004203,0.00161303,0.27148838,0.002555855,0.00029534,0,0.00470277,0.00115865,0.00062476,0.00063612,0.00063612,0.00090875,0,0.16569879,0.04564185,0.000727,0.16854998,0.00110186,0.00177206,0.00055661,0.09669076,0.16569879,0.00141992,0.00650891,0.00118137,0.10168887,0.0004203,0.0004203,0,0.08850067,0,0.00174934,13,834
"Ambleside, England, United Kingdom",0,0,0,0.14906432,0.08906195,0.01310244,0.00484437,0.16890762,0,0.00226914,0.00087172,0,0.00441184,0.00112459,0.24456769,0.00179002,0.00777229,0.0008318,0.36034025,0.0031209,0.00112459,0.0823344,0.0008318,0.75,0,0.00085176,0.0074795,0.09674109,0.01037415,0.01037415,0.01037415,0.01037415,0.00425214,0.00441184,0.10366162,0.04753209,0.03180784,0.03180784,0.00123771,0.00807839,0.00250869,0.00465805,0.00088503,0.00015971,0.35041194,0.14459924,0.00088503,0.10196476,0,0,0,0.2298549,0.00317413,0.06455395,0.00668763,0.08620058,0,0.01008801,0.00390611,0.0020562,0.00385287,0.15917229,0.00149723,0.15195231,0.153595935,0.36034025,0.04550251,0.0031209,0.00078521,0.00079852,0.00065213,0.00141072,0.00099815,0.14494527,0.14430645,0.00578264,0.00086507,0.00078521,0.1958245,0.07181385,0.00141072,0.00112459,0.00112459,0.00159039,0,0.22920943,0.05015391,0.00147727,0.13480402,0.00226914,0.00374641,0.00129095,0.00085176,0.22920943,0.00374641,0.01390761,0.00266174,0.10106642,0.00099815,0.00099815,0.00015971,0.00371313,0.00040592,0.00378633,23,482
"Manila, Manila, Philippines",0,0.75,0,0.31927522,0.28535807,0.00744229,0.1221801,0.03861755,0,0.00097423,0.00037161,0,0.00173754,0.00056244,0.75,0.00070305,0.1627461,0.00031135,0.26609449,0.00129562,0.00056244,0.12399798,0.00031135,0,0,0.00035153,0.08029839,0.06359592,0.01851031,0.01851031,0.01851031,0.01851031,0.03434903,0.03658875,0.00190828,0.00050218,0.05427548,0.05427548,0.00051222,0.03789441,0.00108471,0.04785764,0.00030131,0,0.00150654,0.00169736,0.00030131,0.19132007,0,0,0,0.19777809,0.00119519,0.00154671,0.04613014,0.12633814,0,0.11248805,0.00147641,0.0110178,0.06950154,0.22761755,0.00113492,0.08975943,0.081950555,0.26609449,0.00325412,0.00129562,0,0.00030131,0.00536327,0.0005524,0.00037161,0.02249761,0.35384521,0.048756535,0.00026113,0,0.12599665,0.00584536,0.0005524,0.00056244,0.00056244,0.00080349,0,0.14164455,0.04262493,0.00064279,0.1851031,0.00097423,0.04303672,0.01413131,0.00030131,0.14164455,0.04306685,0.03893894,0.02383341,0.07046573,0.00037161,0.00037161,0,0.00146636,0,0.18504284,44,2868
"Escazu, San Jose, Costa Rica",0,0,0,0.07610803,0.20599689,0.03452974,0.00296745,0.00258039,0,0.0014328,0.00050929,0.75,0.0551661,0.00076733,0.17233634,0.00106611,0.00463792,0.00048213,0.36762459,0.00187418,0.00076733,0.10335834,0.00048213,0,0,0.0138119,0.02137652,0.1026725,0.04311294,0.04311294,0.04311294,0.04311294,0.03538534,0.03772807,0.07482462,0.0945171,0.00488917,0.00488917,0.00080128,0.00471261,0.00145996,0.00281127,0.07070957,0,0.00220013,0.0150953,0.07070957,0.16661194,0,0,0,0.19223932,0.00215938,0.17933056,0.00402677,0.16081284,0,0.00607751,0.00249212,0.11220638,0.04003684,0.27604099,0.00076733,0.07141579,0.16364109,0.36762459,0.03159624,0.00187418,0,0.00047534,0.00038706,0.0270466,0.06143374,0.05494201,0.32782542,0.00356162,0.00052966,0,0.13790845,0.00153466,0.0270466,0.00076733,0.00076733,0.00108648,0,0.18725509,0.03931026,0.00097104,0.16261912,0.0014328,0.00212543,0.0618208,0.00053645,0.18725509,0.00212543,0.10050633,0.00160935,0.09912106,0.06143374,0.06143374,0,0.00230877,0.00020372,0.00225445,14,504
"St. Louis, MO, United States of America",0,0,0,0.20859568,0.12090726,0.0013427,0.11535572,0.02481407,0,0.006494,0.00338256,0,0.05542497,0,0.31940689,0.00267248,0.06632147,0.00475108,0.28654955,0.02194793,0,0.16985113,0.00475108,0,0,0.16265996,0.12627804,0.04075859,0.1837687,0.1837687,0.1837687,0.1837687,0.00790125,0.0084435,0.01900432,0.00376988,0.08595841,0.08595841,0.02269674,0.10021165,0,0.00427339,0.00267248,0,0.00099411,0.00016784,0.00267248,0.14781283,0,0,0.01935291,0.16703663,0.03488429,0.00019366,0.15573991,0.09609319,0.75,0.00037441,0.04827253,0.04230786,0.0324442,0.37505134,0,0.05613505,0.05647718,0.28654955,0.11461982,0.02194793,0,0,0.00222061,0,0.00338256,0.01079322,0.16579722,0.07466814,0,0,0.03745349,0.00431212,0,0,0,0.04430899,0,0.06144128,0.03667886,0,0.14993016,0.006494,0.00565482,0,0.00165255,0.06144128,0.00565482,0.19369691,0,0.05032531,0.00338256,0.00338256,0,0.04011306,0,0.18110913,54,20269
